,الحي,الواجهة,عدد الغرف,عدد الصالات,عدد الحمامات,المساحة,مطبخ,مدخل سيارة,مصعد,الدور,عمر العقار,مؤثثة,السعر الاجمالي
507, حي العارض ,غير محدد,3,2.0,3,176,متوفر,متوفر,غير متوفر,علوي,1.0,لا,1190000
508, حي الياسمين ,غير محدد,4,1.0,3,154,متوفر,غير متوفر,متوفر,أرضي,0.0,لا,900000
509, حي النرجس ,غير محدد,4,1.0,4,210,غير متوفر,غير متوفر,متوفر,أرضي,0.0,لا,1200000
510, حي العارض ,غير محدد,2,1.0,3,133,غير متوفر,متوفر,متوفر,أرضي,0.0,لا,790000
511, حي الملقا ,غربية,3,2.0,3,175,متوفر,متوفر,متوفر,أرضي,4.0,لا,1150000
512, حي الياسمين ,غير محدد,4,1.0,3,154,متوفر,غير متوفر,متوفر,أرضي,0.0,لا,900000
514, حي الملقا ,شمالية,3,2.0,4,135,متوفر,غير متوفر,متوفر,علوي,0.0,لا,1250000
515, حي النرجس ,غير محدد,2,1.0,2,106,متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,900000
516, حي النرجس ,ثلاث شوارع,2,1.0,3,129,متوفر,متوفر,متوفر,3,0.0,لا,1496500
517, حي النرجس ,جنوبية شرقية,2,1.0,3,170,متوفر,غير متوفر,متوفر,غير محدد,0.0,لا,930000
518, الرياض ,غير محدد,4,1.0,3,140,غير متوفر,متوفر,متوفر,علوي,0.0,لا,1250000
519, حي الملقا ,جنوبية,1,0.0,3,125,غير متوفر,غير متوفر,غير متوفر,غير محدد,8.0,لا,1100000
520, حي الياسمين ,ثلاث شوارع,2,1.0,2,100,متوفر,متوفر,غير متوفر,ثاني,2.0,لا,745000
521, حي الندى ,جنوبية,3,2.0,3,191,متوفر,غير متوفر,متوفر,أرضي,0.0,لا,1259000
522, حي الندى ,جنوبية,3,2.0,3,143,متوفر,متوفر,متوفر,علوي,0.0,لا,1189000
523, حي العارض ,جنوبية,3,2.0,3,147,متوفر,متوفر,متوفر,غير محدد,0.0,لا,959000
525, حي النرجس ,شرقية,3,1.0,4,178,متوفر,غير متوفر,متوفر,أرضي,0.0,لا,900000
